"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-09","5.14"," 1208","0.47",,"25","11","   70","   80","10.1","14.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-10","7.38"," 1623","0.08",,"23","20","  360","  360","13.0","15.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-11","8.50"," 1611","0.16",,"27","20","  280","  290","16.1","21.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-12","5.59"," 0248","0.00",,"29","4","  270","  290","13.0","16.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-13","4.25"," 0951","0.00",,"29","-2","   90","  100","13.0","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-14","5.82"," 1219","0.00",,"41","6","  200","  190","16.1","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-15","6.26"," 0535","0.05",,"46","35","  210","  180","13.0","16.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-16","8.50"," 0941","0.00",,"40","12","  310","  310","23.0","30.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-17","4.92"," 1244","0.00",,"33","7","  210","  180","13.0","17.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-18","7.61"," 1415","0.00",,"33","23","  170","  170","17.0","23.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-19","5.14"," 2111","0.59",,"55","30","  180","  190","23.9","32.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-20","7.61"," 1340","1.24",,"62","50","  250","  190","21.0","27.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-21","7.83"," 0732","0.46",,"53","32","  300","  290","17.0","21.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-22","9.17"," 1400","0.00",,"41","29","   10","   40","15.0","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-23","9.40"," 1408","0.11",,"49","34","  250","  310","19.9","29.1",,"    1",,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-24","9.62"," 2259","0.02",,"40","36","   80","   80","19.9","27.1","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-25","15.66"," 0631","0.03",,"49","32","  250","  240","33.1","45.0","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2018-02-26","6.49"," 1534","0.00",,"51","23","  290","  170","23.0","32.0",,,,
