"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-01","6.93"," 0229","0.00",,"37","27","  270","  290","18.1","23.9","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-02","6.93"," 2320","0.00",,"33","26","  230","  240","23.0","29.1","    1",,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-03","11.41"," 0230","0.00",,"37","29","  240","  260","19.9","28.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-04","5.37"," 1344","0.00",,"49","26","  200","  190","15.0","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-05","7.16"," 2249","0.00",,"50","23","  280","  290","17.0","23.9","    1",,,"    1"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-06","6.49"," 2350","0.00",,"43","27","   80","   70","16.1","21.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-07","13.87"," 0954","0.07",,"53","31","  200","   90","23.0","32.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-08","11.18"," 1134","0.08",,"51","33","  270","  250","28.0","36.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-09","15.21"," 1328","0.01",,"33","21","  270","  280","21.9","29.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-10","10.74"," 1041","0.00",,"29","20","  300","  310","19.9","25.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-11","2.46"," 1420","0.00",,"29","10","  180","  140","8.1","12.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-12","8.05"," 2137","0.00",,"31","24","   50","   50","16.1","21.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-13","9.17"," 1320","0.00",,"34","16","   30","   40","16.1","23.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-14","3.58"," 1434","0.00",,"35","5","  240","  270","10.1","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-15","10.29"," 2340","0.00",,"27","24","  230","  230","23.0","28.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-16","7.61"," 0007","0.00",,"33","14","  250","  250","21.0","27.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-17","5.82"," 1045","0.00",,"31","20","  100","  110","13.0","17.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-18","7.38"," 1020","0.00",,"31","26","  270","  260","16.1","19.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-19","13.87"," 1719","0.05",,"26","14","  360","  350","23.9","33.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-20","13.65"," 0205","0.00",,"14","-1","  320","  320","23.9","31.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-21","5.82"," 0034","0.00",,"15","-8","  310","  310","14.1","18.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-22","7.83"," 1111","0.21",,"31","-8","  130","  120","16.1","21.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-23","10.07"," 2017","0.33",,"41","30","  270","  260","23.0","27.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-24","12.08"," 2117","0.00",,"30","22","  230","  220","21.0","27.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-25","14.99"," 0211","0.00",,"22","9","  240","  240","25.1","34.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-26","4.47"," 1706","0.05",,"19","0","  200","  180","15.0","18.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-27","8.05"," 1546","0.04",,"17","-12","  240","  240","21.0","23.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-28","10.96"," 2159","0.14",,"35","-9","  230","  220","30.0","36.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-29","16.11"," 1605","0.00",,"21","-2","  220","  220","30.0","36.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-30","17.45"," 0932","0.00",,"-2","-17","  230","  240","30.0","38.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-01-31","8.95"," 1410","0.00",,"2","-20","  190","  210","15.0","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-01","1.12"," 1543","0.00",,"13","-4","  170","  190","6.9","8.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-02","8.50"," 1450","0.00",,"38","5","  200","  200","16.1","19.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-03","7.61"," 1329","0.00",,"52","35","  200","  190","19.9","25.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-04","8.05"," 2311","0.14",,"51","41","  250","  250","18.1","23.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-05","8.95"," 0402","0.00",,"47","29","  270","  270","21.0","25.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-06","6.26"," 0143","0.46",,"35","29","   80","   80","15.0","21.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-07","9.62"," 2018","0.04",,"55","32","  240","  230","33.1","40.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-08","20.13"," 0038","0.00",,"33","14","  240","  240","33.1","45.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-09","5.82"," 0210","0.00",,"25","9","  270","  270","19.9","25.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-10","6.71"," 1759","0.03",,"27","11","  100","   50","13.0","16.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-11","8.95"," 2154","0.00",,"30","22","   50","   50","16.1","23.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-12","12.97"," 2234","0.49",,"34","26","  200","  190","25.9","36.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-13","17.67"," 0228","0.01",,"29","15","  230","  220","31.1","38.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-14","5.59"," 1315","0.00",,"43","10","  160","  170","15.0","19.9","    1",,,"    1"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-15","15.43"," 1344",,,"40","17","  240","  310","28.0","57.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-16","6.71"," 0146","0.00",,"27","17","  320","  300","13.0","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-17","9.40"," 1705","0.22",,"26","22","   50","   50","18.1","23.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-18","7.16"," 1346","0.03",,"27","-3","  310","  320","15.0","21.9",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-19","2.24"," 0754","0.00",,"30","-6","  340","  340","8.1","10.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-20","9.62"," 2354","0.02",,"37","20","  230","  240","23.0","27.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-21","13.42"," 0236","0.00",,"37","27","  230","  250","23.0","31.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-22","3.58"," 1359","0.00",,"38","17","  120","   30","8.9","12.1",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-23","7.61"," 1428","0.06",,"41","26","   60","   80","15.0","19.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-24","21.92"," 1638","0.21",,"47","25","  240","  230","42.9","55.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-25","17.67"," 0201","0.00",,"27","17","  250","  250","40.0","51.0",,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2019-02-26","7.61"," 2134","0.00",,"25","15","   90","   90","13.0","16.1",,,,
